t_s,ia_ufv_pu,ib_ufv_pu,ic_ufv_pu,va_ufv_pu,vb_ufv_pu,vc_ufv_pu
0,6.83160878686984e-20,-1.96161565014232e-19,1.27845477145534e-19,-2.10852123051749e-14,6.05436929056877e-14,-3.94584806005128e-14
5e-06,-3.9282324548741e-06,1.9483793656975e-06,1.97985308917659e-06,-0.000127035170249748,6.37988826897166e-05,6.323628756067e-05
1e-05,-1.5522944198671e-05,7.68266617054838e-06,7.84027802812263e-06,-0.000375834276043857,0.000189045626947327,0.00018678864909617
1.5e-05,-3.84006940265419e-05,1.89629884768142e-05,1.94377055497277e-05,-0.00074129113426429,0.000373485834321279,0.000367805299943633
2e-05,-7.60602360535886e-05,3.74730751846181e-05,3.85871608689705e-05,-0.00121836880654574,0.00061491872169621,0.000603450084849161
2.5e-05,-0.000131886107817457,6.48208913356657e-05,6.70652164817913e-05,-0.00180210403886229,0.000911203804469059,0.000890900234393819
3e-05,-0.000209152506599412,0.000102539220573166,0.000106613286026246,-0.00248760111037381,0.00126026193723458,0.00122733917314083
3.5e-05,-0.000311027436401052,0.000152086209445534,0.000158941226955518,-0.00327002588320797,0.00166007606823148,0.00160994981497518
4e-05,-0.000436671910096808,0.000212893291488469,0.00022377861860834,-0.00401715313471793,0.00204496821293374,0.0019721849217842
4.5e-05,-0.00058536284639694,0.000284424838496295,0.000300938007900645,-0.00472911189615675,0.00241547497734538,0.00231363691881137
5e-05,-0.000756430418647829,0.000366144946685074,0.000390285471962755,-0.005405894499004,0.00277210445493528,0.00263379004406871
5.5e-05,-0.000949260257138683,0.000457516589028287,0.000491743668110396,-0.00604744214829906,0.00311538088499815,0.00293206126330091
6e-05,-0.00116329630998634,0.000558001067657348,0.000605295242328988,-0.00665363146305054,0.00344583927573363,0.00320779218731691
6.5e-05,-0.0013980437076387,0.000667057470759921,0.000730986236878775,-0.00722427273568594,0.00376402535645771,0.00346024737922824
7e-05,-0.00165307157375183,0.000784142137466648,0.000868929436285182,-0.00775910917600839,0.00407049548540175,0.00368861369060665
7.5e-05,-0.00192801573853219,0.000908708140730924,0.00101930759780126,-0.00825781690601949,0.00436581639530335,0.00389200051071613
8e-05,-0.00222258131161492,0.00104020479819217,0.00118237651342275,-0.00872000569433106,0.00465056477544519,0.00406944091888587
8.5e-05,-0.00254045025430356,0.00118002981154515,0.00136042044275841,-0.00927266762300074,0.00498905029603721,0.00428361732696361
9e-05,-0.00288516523442923,0.00132946970548022,0.00155569552894902,-0.00991042899470084,0.00537943974342103,0.00453098925127935
9.5e-05,-0.00326019892937519,0.00148973317691477,0.00177046575246042,-0.0106280397929992,0.00581999944186263,0.00480804035113535
0.0001,-0.00366895829870552,0.00166195214139926,0.00200700615730627,-0.0114202878776711,0.00630904957689759,0.00511123830077416
0.000105,-0.0041147879458035,0.00184718256050575,0.00226760538529775,-0.0122820134635579,0.00684496822280809,0.00543704524074851
0.00011,-0.00460097315013784,0.00204640536280473,0.0025545677873331,-0.0132081131071884,0.00742618971872627,0.00578192338846225
0.000115,-0.0051307425570264,0.00226052747112787,0.00287021508589854,-0.0141935438998969,0.00805120277869386,0.00614234112120353
0.00012,-0.00570727050213857,0.00249038294127022,0.00321688756086836,-0.0152333280535855,0.00871854846806689,0.00651477958551642
0.000125,-0.00633367895140893,0.0027367342161051,0.00359694473530383,-0.0163225578320458,0.00942681806481419,0.00689573976723219
0.00013,-0.0070130390409257,0.00300027349799832,0.00401276554292738,-0.0174564007724825,0.0101746508225164,0.00728174994996759
0.000135,-0.00774837220539328,0.00328162424129262,0.00446674796410066,-0.0186301051391546,0.0109607316524905,0.00766937348666317
0.00014,-0.00854265088790046,0.00358134276549544,0.00496130812240502,-0.0198390055491273,0.011783788742874,0.00805521680625334
0.000145,-0.00939489364632359,0.0038979673978624,0.00549692624846119,-0.020951081502595,0.0125788675297117,0.00837221397288336
0.00015,-0.0103042833340665,0.00423007948201292,0.00607420385205358,-0.0219667134275615,0.0133472033742388,0.00861951005332274
0.000155,-0.0112700991567559,0.00457627164796212,0.0066938275087938,-0.0228862018372086,0.0140899757947292,0.00879622604247935
0.00016,-0.0122917130571508,0.00493514856112494,0.0073565644960259,-0.023709862323263,0.0148083506632674,0.00890151165999569
0.000165,-0.0133685862893512,0.00530532806920992,0.0080632582201413,-0.0244380207373953,0.0155034725911423,0.00893454814625306
0.00017,-0.0145041707697469,0.00568739502617099,0.00881677574357591,-0.0251984664394088,0.016240186488446,0.00895827995096207
0.000175,-0.0157017865358138,0.00608184344144645,0.00961994309436738,-0.025986708135789,0.0170171606039458,0.00896954753184409
0.00018,-0.0169646845408727,0.00648911154862756,0.0104755729922451,-0.0267984663546229,0.0178331281101579,0.00896533824446604
0.000185,-0.0182960443700427,0.00690958456387369,0.011386459806169,-0.0276295897112544,0.0186868408500348,0.00894274886122134
0.00019,-0.0196989710608734,0.00734359720135958,0.0123553738595139,-0.0284760705004627,0.0195770730492337,0.00889899745122834
0.000195,-0.0211764916739655,0.0077914362420483,0.0133850554319172,-0.0293340488365036,0.0205026196373509,0.00883142919915239
0.0002,-0.0227315516631135,0.00825334315255263,0.0144782085105609,-0.0301998160466245,0.0214622945598725,0.0087375214867537
0.000205,-0.0243670110832136,0.00872951674384151,0.0156374943393721,-0.0310698175206191,0.022454929207171,0.00861488831344888
0.00021,-0.0260856406753368,0.00922011585905903,0.0168655248162778,-0.031940654995002,0.023479370970704,0.0084612840242974
0.000215,-0.0278901178694132,0.00972526207947463,0.0181648557899385,-0.032809088251064,0.0245344819325748,0.00827460631848942
0.00022,-0.0297830227456088,0.0102450424374388,0.0195379803081699,-0.0336720362118115,0.0256191376930844,0.0080528985187255
0.000225,-0.0317668339957142,0.0107795121251776,0.0209873218705366,-0.0345265774287789,0.0267322263394176,0.00779435108936172
0.00023,-0.0338419723348903,0.0113247920067317,0.0225171803281586,-0.0353062263526291,0.0277452003508393,0.00756102600179074
0.000235,-0.0360069031518379,0.0118791421894802,0.0241277609623576,-0.0359470841233341,0.0287255497155438,0.00722153440779033
0.00024,-0.0382601581734559,0.0124408381026137,0.0258193200708422,-0.0364514690549325,0.0296744395821859,0.00677702947274656
0.000245,-0.0406002968018581,0.0130082041169512,0.0275920926849069,-0.0368217160520666,0.0305930423979908,0.00622867365407581
0.00025,-0.0430259003056169,0.0135796153225228,0.0294462849830941,-0.0370602135769996,0.0314824825491449,0.00557773102785478
0.000255,-0.045535566517959,0.0141534989193919,0.0313820675985671,-0.0371693957641843,0.0323438420228787,0.00482555374130568
0.00026,-0.0481279047618609,0.0147283355055482,0.0333995692563127,-0.0371517397040349,0.033178160970571,0.00397357873346391
0.000265,-0.0508015310251358,0.0153026602606425,0.0354988707644933,-0.0370097624364048,0.0339864382977809,0.00302332413862398
0.00027,-0.0535550634126421,0.0158750640189348,0.0376799993937072,-0.0367460175671697,0.0347696323815259,0.00197638518564377
0.000275,-0.0563890704908021,0.0164422416348309,0.0399468288559713,-0.036426815145345,0.0354649383013009,0.000961876844042688
0.00028,-0.0593059607982442,0.0170049571560368,0.0423010036422074,-0.0361160661079609,0.0362031111123614,-8.70450044007801e-05
0.000285,-0.062307953804184,0.0175638925220812,0.0447440612821027,-0.0358116461694238,0.0369824733051961,-0.00117082713577233
0.00029,-0.065397111709644,0.0181197142105189,0.0472773974991251,-0.0355115899778117,0.0378014471683889,-0.00228985719057563
0.000295,-0.0685753389574541,0.0186730753100672,0.049902263647387,-0.0352140469863512,0.0386584614609046,-0.00344441447455433
0.0003,-0.0718443818405658,0.0192246168666112,0.0526197649739546,-0.0349172815163886,0.0395519633315863,-0.00463468181520052
0.000305,-0.0752058285251007,0.0197749691072315,0.0554308594178693,-0.0346196670693055,0.0404804193650757,-0.00586075229576977
0.00031,-0.078661109495249,0.020324752556911,0.058336356938338,-0.0343196804306863,0.0414423163669767,-0.00712263593629024
0.000315,-0.0822114984167174,0.0208745790504951,0.0613369193662222,-0.0340158957410175,0.0424361621080855,-0.00842026636706782
0.00032,-0.0858581134116558,0.021425052643047,0.0644330607686087,-0.0337069785892138,0.043460486020919,-0.00975350743170486
0.000325,-0.0896019187344705,0.0219767704225392,0.0676251483119313,-0.03339168018138,0.0445138398374541,-0.0111221596560756
0.00033,-0.0934437268345674,0.0225303232295677,0.0709134036049997,-0.0330688316354297,0.0455947981576373,-0.0125259665222068
0.000335,-0.0973842007888802,0.023086296289457,0.0742979044994232,-0.0327373384499191,0.0467019589390431,-0.0139646204891227
0.00034,-0.101423857084067,0.0236452697627356,0.0777785873213315,-0.0323961751926989,0.0478339438990547,-0.0154377687063563
0.000345,-0.105563068725516,0.0242078192204974,0.0813552495050187,-0.0320443804518608,0.0489893988219448,-0.0169450183700848
0.00035,-0.109802068647826,0.0247745160516205,0.0850275525962059,-0.0316810520878661,0.0501669937643389,-0.0184859416764706
0.000355,-0.114140953399242,0.0253459278091879,0.0887950255900544,-0.0313053428218876,0.0513654231537538,-0.0200600803318683
0.00036,-0.118579687070625,0.0259226185037397,0.092657068566885,-0.0309164561910853,0.0525834057760744,-0.0216669495849905
0.000365,-0.123118105437978,0.0265051488511875,0.0966129565867904,-0.0305136428971986,0.0538196846491117,-0.0233060417519124
0.00037,-0.127755920286307,0.0270940764833295,0.100661843802978,-0.0300961975699943,0.0550730267806595,-0.0249768292106662
0.000375,-0.132492723881682,0.027689956128929,0.104802767752753,-0.0296634559623311,0.0563422228107338,-0.0266787668484025
0.00038,-0.137327993557824,0.0282933397732522,0.109034653784572,-0.0292147925886705,0.0576260865389764,-0.0284112939503065
0.000385,-0.142261096383322,0.0289047768038109,0.113356319579511,-0.0287496188137128,0.058923454339452,-0.0301738355257401
0.00039,-0.147291293875709,0.0295248141498226,0.117766479725887,-0.028267381392938,0.0602331844662877,-0.0319658030733495
0.000395,-0.152417746729106,0.0301539964225879,0.122263750306518,-0.0277675614617459,0.0615541562548068,-0.0337865947930579
0.0004,-0.15763951952292,0.0307928660635971,0.126846653459323,-0.0272496739650489,0.0628852692239248,-0.035635595258876
0.000405,-0.162955585380216,0.0314419635067225,0.131513621873493,-0.0267132675143766,0.0642254420866304,-0.0375121745722529
0.00041,-0.168364830545771,0.032101827360332,0.136263003185439,-0.0261579246550639,0.0655736116763626,-0.0394156870212984
0.000415,-0.173866058855528,0.0327729946145804,0.141093064240948,-0.0255832625217064,0.0669287317980128,-0.0413454692763066
0.00042,-0.179457996071105,0.0334560008785066,0.146001995192599,-0.0249889338560491,0.0682897720130298,-0.0433008381569809
0.000425,-0.18513929405523,0.0341513806508938,0.150987913404336,-0.0243746283578046,0.069655716368864,-0.045281088011061
0.00043,-0.190908534766348,0.0348596676281396,0.156048867138208,-0.0237400743354236,0.0710255620835341,-0.0472854877481094
0.000435,-0.196764234053256,0.035581395051648,0.161182839001608,-0.0230850406209867,0.0723983181965915,-0.0493132775756027
