t_s,P_pu,Q_pu,theta_pll_rad,theta_ref_rad,theta_err_rad,id_pu,iq_pu
0,-5.43138259037558e-27,2.58892814589742e-43,0,0,0,0,-1
5e-05,2.22764862892122e-05,-5.70564661559519e-06,0.018849555921122,0.0188495559215388,-4.16802009572947e-13,0,-1
0.0001,9.09437664271109e-05,-5.41864210036425e-05,0.0376991118422239,0.0376991118430775,-8.53588033589148e-13,0,-1
0.00015,0.000335474369597486,-0.000297345145209681,0.0565486677633059,0.0565486677646163,-1.31038235817726e-12,0,-1
0.0002,0.000560957677500375,-0.000917091765834331,0.0753982236843679,0.075398223686155,-1.78718151389035e-12,0,-1
0.00025,0.000902903941116377,-0.00239031247321937,0.0938281591698723,0.0942477796076938,-0.000419620437821469,0,-1
0.0003,0.000524539258874071,-0.00481910045646765,0.112258508223789,0.113097335529233,-0.000838827305443934,0,-1
0.00035,-0.000326500606911618,-0.00894762430214983,0.130689471986631,0.131946891450771,-0.00125741946413999,0,-1
0.0004,-0.00188420522036883,-0.0152920750140283,0.149121251461858,0.15079644737231,-0.00167519591045162,0,-1
0.00045,-0.0043548062619874,-0.0241392966498242,0.167977026033426,0.169646003293849,-0.00166897726042237,0,-1
0.0005,-0.00837724937067071,-0.0313101928818812,0.186856369291466,0.188495559215388,-0.00163918992392206,0,-1
0.00055,-0.0133392436787437,-0.0399953859445391,0.205759560840542,0.207345115136926,-0.00158555429638463,0,-1
0.0006,-0.0186830573649128,-0.0494928324717887,0.22468687238413,0.226194671058465,-0.00150779867433501,0,-1
0.00065,-0.0235479885154878,-0.0585861947517286,0.244406641049851,0.245044226980004,-0.000637585930152729,0,-1
0.0007,-0.0279557770279653,-0.0580868008623539,0.264171416111519,0.263893782901543,0.000277633209976036,0,-1
0.00075,-0.029921687196165,-0.0546415579443101,0.283981317969479,0.282743338823081,0.00123797914639789,0,-1
0.0008,-0.028612627618752,-0.0465234170858832,0.30383644801711,0.30159289474462,0.00224355327249032,0,-1
0.00085,-0.0236863978161985,-0.0318232608625255,0.323826166314241,0.320442450666159,0.00338371564808193,0,-1
0.0009,-0.0210065964459114,-0.00680511401004196,0.343847614448976,0.339292006587698,0.0045556078612784,0,-1
0.00095,-0.0144982095976992,0.0267295101641086,0.363900586715594,0.358141562509236,0.00575902420635743,0,-1
0.001,-0.00584972768277799,0.0701201934651033,0.383984862763736,0.376991118430775,0.00699374433296046,0,-1
0.00105,-6.49663950220179e-05,0.133784389819737,0.402700213140684,0.395840674352314,0.00685953878837009,0,-1
0.0011,-0.00226804011498033,0.20368230912552,0.421389836068352,0.414690230273853,0.00669960579449896,0,-1
0.00115,-0.00940024144769014,0.288530237638111,0.440053578712318,0.433539786195391,0.0065137925169263,0,-1
0.0012,-0.0253842877101,0.372807554941415,0.458691297476203,0.45238934211693,0.00630195535927236,0,-1
