t_s,theta_pll_rad,theta_ref_rad,theta_err_rad
0,0,0,0
0.0002,0.0753982236860876,0.075398223686155,-6.74599265337861e-14
0.0004,0.150238017103958,0.15079644737231,-0.000558430268351784
0.0006,0.225161768929238,0.226194671058465,-0.00103290212922669
0.0008,0.301191706897553,0.30159289474462,-0.000401187847066664
0.001,0.37819095978747,0.376991118430775,0.00119984135669476
0.0012,0.454050007941886,0.45238934211693,0.00166066582495572
0.0014,0.52623279720351,0.527787565803085,-0.00155476859957493
0.0016,0.593932213119843,0.60318578948924,-0.00925357636939739
0.0018,0.658267810275034,0.678584013175395,-0.0203162029003618
0.002,0.720440735415787,0.75398223686155,-0.0335415014457637
0.0022,0.780413777006311,0.829380460547705,-0.048966683541394
0.0024,0.837098333003786,0.904778684233861,-0.0676803512300748
0.0026,0.890134368933178,0.980176907920016,-0.0900425389868372
0.0028,0.940826146246409,1.05557513160617,-0.114748985359761
0.003,0.991235571903263,1.13097335529233,-0.139737783389063
0.0032,1.04260519356304,1.20637157897848,-0.163766385415437
0.0034,1.09495960761723,1.28176980266464,-0.186810195047401
0.0036,1.14806312054727,1.35716802635079,-0.209104905803518
0.0038,1.20240146726291,1.43256625003695,-0.230164782774031
0.004,1.25908674541377,1.5079644737231,-0.248877728309335
0.0042,1.31839921470692,1.58336269740926,-0.264963482702334
0.0044,1.37951651109705,1.65876092109541,-0.279244409998365
0.0046,1.44115514644977,1.73415914478157,-0.293003998331795
0.0048,1.50272181809569,1.80955736846772,-0.30683555037203
0.005,1.56464710295511,1.88495559215388,-0.320308489198769
0.0052,1.62759292758399,1.96035381584003,-0.332760888256041
0.0054,1.691730029361,2.03575203952619,-0.344022010165181
0.0056,1.75671638289215,2.11115026321234,-0.35443388032019
0.0058,1.82210685697709,2.1865484868985,-0.364441629921403
0.006,1.88796987084367,2.26194671058465,-0.373976839740985
0.0062,1.95468385897028,2.33734493427081,-0.382661075300529
0.0064,2.02239995688387,2.41274315795696,-0.390343201073091
0.0066,2.09085116468115,2.48814138164312,-0.397290216961966
0.0068,2.15960841987477,2.56353960532927,-0.403931185454506
0.007,2.22850590078017,2.63893782901543,-0.410431928235253
0.0072,2.29768510930318,2.71433605270158,-0.416650943398404
0.0074,2.36729274590381,2.78973427638774,-0.422441530483924
0.0076,2.43734486046196,2.86513250007389,-0.427787639611933
0.0078,2.5078601572339,2.94053072376005,-0.432670566526148
0.008,2.5789018979158,3.0159289474462,-0.437027049530403
0.0082,2.65051436215534,3.09132717113236,-0.440812808977014
0.0084,2.7226434796539,3.16672539481851,-0.44408191516461
0.0086,2.795262371056,3.24212361850467,-0.446861247448662
0.0088,2.86830135948969,3.31752184219082,-0.44922048270113
0.009,2.94159085198427,3.39292006587698,-0.451329213892712
0.0092,3.01491514777345,3.46831828956313,-0.453403141789681
0.0094,3.08817614831884,3.54371651324929,-0.455540364930446
0.0096,3.16152836179776,3.61911473693544,-0.457586375137683
0.0098,3.23529929745552,3.6945129606216,-0.459213663166073
0.01,3.30977974814665,3.76991118430775,-0.460131436161102
0.0102,3.38500420770508,3.84530940799391,-0.460305200288829
0.0104,3.46048157945136,3.92070763168006,-0.4602260522287
0.0106,3.53607248990703,3.99610585536622,-0.460033365459189
0.0108,3.61154432748383,4.07150407905237,-0.459959751568541
0.011,3.68690831312181,4.14690230273853,-0.459993989616718
0.0112,3.76217645775192,4.22230052642468,-0.460124068672767
0.0114,3.83733449746734,4.29769875011084,-0.460364252643494
0.0116,3.91246268215137,4.37309697379699,-0.460634291645627
0.0118,3.9878943511788,4.44849519748315,-0.460600846304347
0.012,4.06390522712102,4.5238934211693,-0.459988194048281
0.0122,4.14067359318403,4.59929164485546,-0.458618051671426
0.0124,4.21823667093047,4.67468986854161,-0.456453197611143
0.0126,4.29646845130829,4.75008809222777,-0.453619640919474
0.0128,4.37523348484051,4.82548631591392,-0.450252831073414
0.013,4.45451865210139,4.90088453960008,-0.446365887498684
0.0132,4.53442366690417,4.97628276328623,-0.441859096382061
0.0134,4.61494746652602,5.05168098697239,-0.436733520446366
0.0136,4.69592490753957,5.12707921065854,-0.431154303118976
0.0138,4.77714030175716,5.2024774343447,-0.42533713258754
0.014,4.85842720906948,5.27787565803085,-0.419448448961375
0.0142,4.93977277879853,5.35327388171701,-0.413501102918478
0.0144,5.02121125923949,5.42867210540316,-0.407460846163676
0.0146,5.10273420077133,5.50407032908932,-0.401336128317989
0.0148,5.18423328750536,5.57946855277547,-0.39523526527011
0.015,5.26556613355142,5.65486677646163,-0.389300642910208
0.0152,5.34661590998608,5.73026500014778,-0.383649090161702
0.0154,5.42733709762452,5.80566322383394,-0.378326126209423
0.0156,5.50770596449672,5.88106144752009,-0.373355483023374
0.0158,5.58777757674621,5.95645967120625,-0.36868209446004
0.016,5.66753703231774,6.0318578948924,-0.364320862574663
0.0162,5.74697134337523,6.10725611857856,-0.360284775203331
0.0164,5.82620066077174,6.18265434226471,-0.35645368149297
0.0166,5.90543341718521,6.25805256595087,-0.352619148765656
0.0168,5.9848836958172,5.99064297751242,-0.00575928169522122
0.017,6.06461768484649,6.06364881008986,0.000968874756623883
0.0172,6.14471562606295,6.13842961507884,0.00628601098410719
0.0174,6.22517947262985,6.21439586670365,0.0107836059261928
0.0176,0.0228976420242324,0.00883915864835844,0.014058483375874
