t_s,P_ufv_pu,Q_ufv_pu,id_ufv_ref_pu,id_ufv_pu,iq_ufv_ref_pu,iq_ufv_pu,vd_ufv_pu,vq_ufv_pu,vd_rede_pu,vq_rede_pu,vbus2_pu,ang_g1_rad,pe_g1_pu,ang_g3_rad,pe_g3_pu
0,-5.43138259037558e-27,2.58892814589742e-43,0,-1.40826339645822e-16,-1,7.24874035052721e-17,3.81027508809447e-11,-1.96125915415699e-11,3.81055536065349e-11,-1.96140341857605e-11,4.21246872009358e-11,-1.5707963267949,5.33317755186809e-20,-0.783237820424402,0.664062500000001
5e-06,4.321587136789e-10,-5.35900115721908e-12,0,-1.40689454008166e-16,-1,7.27527259685889e-17,-5.48589787654513e-07,-0.000123737195346218,3.80685143494132e-11,-1.96858265747012e-11,0.000121632296728458,-1.56891137095967,2.35948160331554e-09,-0.781352864832138,0.664062385183088
1e-05,5.05228029083808e-09,-8.12608652254129e-11,0,-1.40552068492927e-16,-1,7.30177899373575e-17,-2.6431589228232e-06,-0.000366075856644667,3.80313398327079e-11,-1.97575490187871e-11,0.000359854367959268,-1.56702641489399,0.00196201016014179,-0.77946790905773,4.62762111680794
1.5e-05,2.46512170529502e-08,-4.90572801389239e-10,0,-1.40414183588243e-16,-1,7.32825944697905e-17,-7.25617164269038e-06,-0.000722039589106581,3.79940301885022e-11,-1.98292012631844e-11,0.000709785807133004,-1.56514145860419,0.0134864804097903,-0.777582953116312,0.241389820578702
2e-05,8.02489006215245e-08,-1.91533133449552e-09,0,-1.40275799784026e-16,-1,7.35471386250225e-17,-1.53405860402937e-05,-0.00118671908310823,3.79565855493593e-11,-1.99007830533086e-11,0.00116661775183521,-1.56325650209656,0.0180606074948693,-0.775697997024939,0.200610910746522
2.5e-05,2.058127561679e-07,-5.76289321842273e-09,0,-1.40136917571963e-16,-1,7.38114214631132e-17,-2.78347340467177e-05,-0.00175527739584714,3.79190060483222e-11,-1.99722941348256e-11,0.00172561826925183,-1.56137154537738,0.0225731964629574,-0.773813040800645,0.204324031296021
3e-05,4.50532777796862e-07,-1.4559511852195e-08,0,-1.39997537445509e-16,-1,7.40754420450506e-17,-4.56668186503383e-05,-0.00242294478221613,3.7881291818913e-11,-2.00437342536524e-11,0.00238212755329229,-1.55948658845293,0.0270881115742855,-0.771928084460381,0.209247213026759
3.5e-05,8.80683869720363e-07,-3.24353301171497e-08,0,-1.39857659899891e-16,-1,7.43391994327549e-17,-6.97589982074587e-05,-0.00318501358670607,3.78434429951325e-11,-2.01151031559583e-11,0.00313155326474788,-1.55760163132946,0.031608194336354,-0.770043128021025,0.214263420741347
4e-05,1.5189002107987e-06,-6.42812937518342e-08,0,-1.397172854321e-16,-1,7.46026926890809e-17,-9.91591420129197e-05,-0.00391270943878656,3.78054597114596e-11,-2.01864005881656e-11,0.00384734727734792,-1.55571667401324,0.0361344921769721,-0.768158171499367,0.219343084474464
4.5e-05,2.39686118157856e-06,-1.16921247054758e-07,0,-1.39576414540896e-16,-1,7.48659208778223e-17,-0.000134166127099244,-0.00460617527021767,3.77673421028511e-11,-2.02576262969504e-11,0.00452969522428875,-1.55383171651051,0.0406679602806801,-0.766273214912122,0.224484675197415
5e-05,3.54041004489435e-06,-1.99099092459753e-07,0,-1.39435047726801e-16,-1,7.51288830637145e-17,-0.000175114638342854,-0.00526542623003311,3.77290903047411e-11,-2.03287800292437e-11,0.00517866655492947,-1.55194675882749,0.0452095055664799,-0.764388258275917,0.229687332256767
5.5e-05,4.96990828595268e-06,-3.21727410227761e-07,0,-1.39293185492098e-16,-1,7.53915783124379e-17,-0.000222377494237434,-0.0058904330084972,3.76907044530404e-11,-2.03998615322323e-11,0.00579429841713211,-1.5500618009704,0.0497599860108137,-0.762503301607298,0.234950157550111
6e-05,6.70053036631998e-06,-4.98138193782225e-07,0,-1.39150828340833e-16,-1,7.56540056906216e-17,-0.000276366255418027,-0.00648110857450545,3.76521846841359e-11,-2.04708705533597e-11,0.00637658500980738,-1.54817684294544,0.0543202089503545,-0.760618344922726,0.240272198966273
6.5e-05,8.74252260962097e-06,-7.44333985100166e-07,0,-1.39007976778808e-16,-1,7.5916164265846e-17,-0.000337531474206601,-0.00703730619796587,3.76135311348908e-11,-2.05418068403266e-11,0.00692547849536429,-1.5462918847588,0.0588909294960416,-0.758733388238576,0.24565245168992
7e-05,1.11014216224893e-05,-1.07923648059747e-06,0,-1.38864631313583e-16,-1,7.61780531066471e-17,-0.000406362452361045,-0.00755881830730805,3.75747439426431e-11,-2.06126701410927e-11,0.00744089127742867,-1.54440692641664,0.0634728490872962,-0.756848431571137,0.251089860010261
7.5e-05,1.37782302243236e-05,-1.52492923608983e-06,0,-1.38720792454473e-16,-1,7.6439671282519e-17,-0.000483386510619707,-0.00804537596092435,3.7535823245206e-11,-2.06834602038764e-11,0.00792269952481091,-1.54252196792512,0.068066614187295,-0.754963474936611,0.256583319180437
8e-05,1.67695488490573e-05,-2.10689071831231e-06,0,-1.38576460712545e-16,-1,7.67010178639174e-17,-0.000569167781612947,-0.00849664892907911,3.7496769180867e-11,-2.07541767771567e-11,0.00837074805885851,-1.54063700929036,0.0726728151191766,-0.753078518351112,0.262131677312868
8.5e-05,2.02317716352797e-05,-2.49223800913823e-06,0,-1.38431636600618e-16,-1,7.69620919222633e-17,-0.000558842560234041,-0.00897772797543593,3.74575818883873e-11,-2.08248196096737e-11,0.00884200148195855,-1.53875205051847,0.0772919850427516,-0.751193561830664,0.267733737306639
9e-05,2.43901305912626e-05,-3.06737381285109e-06,0,-1.3828632063326e-16,-1,7.72228925299458e-17,-0.000566977996224568,-0.0095446429402522,3.74182615070016e-11,-2.08953884504293e-11,0.00939872522995774,-1.53686709161554,0.0819245990709871,-0.749308605391206,0.27338825880258
9.5e-05,2.93762809346374e-05,-3.89265798778545e-06,0,-1.38140513326788e-16,-1,7.74834187603254e-17,-0.000594604527860133,-0.010192206516372,3.73788081764174e-11,-2.09658830486884e-11,0.0100357626628536,-1.53498213258765,0.0865710735252559,-0.747423649048582,0.279093960163349
0.0001,3.53340752736948e-05,-5.0410405105735e-06,0,-1.37994215199262e-16,-1,7.77436696877379e-17,-0.000642825465132897,-0.0109153085966893,3.73392220368146e-11,-2.10363031539799e-11,0.0107481127622236,-1.53309717344083,0.0912317653280702,-0.745538692818551,0.28484952047431
0.000105,4.24203484172393e-05,-6.59920852943905e-06,0,-1.37847426770489e-16,-1,7.80036443874969e-17,-0.000712729437810262,-0.0117088835599378,3.72995032288451e-11,-2.1106648516097e-11,0.0115308934186522,-1.5312122141811,0.0959069715317701,-0.743653736716775,0.290653581561559
0.00011,5.08054366730181e-05,-8.6691832257786e-06,0,-1.37700148562016e-16,-1,7.82633419358977e-17,-0.000805397238142128,-0.0125679182695198,3.7259651893632e-11,-2.11769188850987e-11,0.0123793446079174,-1.52932725481447,0.100596928981359,-0.741768780758831,0.296504750024402
0.000115,6.0673356556603e-05,-1.13699596219237e-05,0,-1.3755238109713e-16,-1,7.85227614102201e-17,-0.000921899131749735,-0.0134874552901796,3.72196681727694e-11,-2.12471140113104e-11,0.0132888239456445,-1.5274422953469,0.105301814109482,-0.7398838249602,0.302401599278161
