t_s,P_ufv_pu,Q_ufv_pu,id_ufv_ref_pu,id_ufv_pu,iq_ufv_ref_pu,iq_ufv_pu,vd_ufv_pu,vq_ufv_pu,vd_rede_pu,vq_rede_pu,vbus2_pu,ang_g1_rad,pe_g1_pu,ang_g3_rad,pe_g3_pu
0,-5.43138259037558e-27,2.58892814589742e-43,0,-1.40826339645822e-16,-1,7.24874035052721e-17,3.86709780613281e-11,-1.99050745600927e-11,3.86674733733437e-11,-1.99032705954883e-11,4.33761564163651e-11,-1.5707963267949,5.33317755186809e-20,-0.783237820424402,0.664062500000001
5e-05,2.22764862892122e-05,-5.70564661559519e-06,0,-1.394350477268e-16,-1,7.51288830637158e-17,-0.000681808303873781,-0.00845336497862214,3.82854585928089e-11,-2.06285563676615e-11,0.0084579978494154,-1.55194675276196,0.0448003963038549,-0.764388259206916,0.769131114617708
0.0001,9.09437664271109e-05,-5.41864210036425e-05,0,-1.37994215199261e-16,-1,7.77436696877404e-17,-0.00271728277544731,-0.012238335378489,3.78898411711378e-11,-2.13465129119822e-11,0.0125026362119813,-1.53309716660701,0.0901421030838617,-0.74553870833122,0.28527020743485
0.00015,0.000335474369597486,-0.000297345145209681,0,-1.36504353984141e-16,-1,8.03308343561092e-17,-0.00702277238542928,-0.0202315929136545,3.74807616693166e-11,-2.20568851419089e-11,0.0213581837133805,-1.51424757405772,0.136307250404028,-0.726689182607827,0.341496821687206
0.0002,0.000560957677500375,-0.000917091765834331,0,0.00676047288819268,-1,-0.0400221788631128,-0.0133945575319086,-0.0200396462590853,-0.0133933436048968,-0.0200378300984663,0.0240391211025653,-1.49539798054274,0.183176550524751,-0.707839695965485,0.401724262121949
0.00025,0.000902903941116377,-0.00239031247321937,0,0.00602176036210503,-1,-0.0401399700643182,-0.0224912460628565,-0.0214871437671399,-0.0137603440711882,-0.019787602659654,0.0310218302378607,-1.4765483911753,0.230227527685785,-0.688990261474614,0.463048939205897
0.0003,0.000524539258874071,-0.00481910045646765,0,0.00528098588389938,-1,-0.0402441297920211,-0.0330243775220114,-0.0132588814987239,-0.0141226788738627,-0.0195306484633661,0.035490870511198,-1.45769881075373,0.276714679218714,-0.670140891385801,0.524237494149042
0.00035,-0.000326500606911618,-0.00894762430214983,0,0.0045383928289299,-1,-0.040334622660356,-0.045458191176832,-0.00615132702097241,-0.0144802284959443,-0.0192670514266993,0.0457490734960917,-1.43884924377452,0.321833109990937,-0.651291597176924,0.584259483694906
0.0004,-0.00188420522036883,-0.0152920750140283,0,0.0366387254570773,-1,-0.190621365521484,-0.0589750966679731,0.00120140050827703,-0.05896975185067,0.00120129162729866,0.0588286226366519,-1.41999969445313,0.364870738075181,-0.632442389603352,0.642328006228716
0.00045,-0.0043548062619874,-0.0241392966498242,0,0.0330381118661221,-1,-0.191278290353913,-0.0725603355529378,0.00944090926678892,-0.0589366191596532,0.00231293253974423,0.0729750672083621,-1.40115016674819,0.405332454798128,-0.613593278746702,0.697914058936655
0.0005,-0.00837724937067071,-0.0313101928818812,0,0.0294212301788512,-1,-0.191867903546053,-0.076505462530891,0.0215392196914627,-0.0588824520403924,0.00342513891897805,0.0792658606503188,-1.38230066438508,0.443025215754998,-0.594744274058796,0.750737589499743
0.00055,-0.0133392436787437,-0.0399953859445391,0,0.0257892740463639,-1,-0.192389746453796,-0.081127556228386,0.0326690222938316,-0.0588071899000256,0.00453752696584167,0.0872229365074048,-1.36345119087568,0.478097283316171,-0.57589538439864,0.800742175858772
0.0006,-0.0186830573649128,-0.0494928324717887,0,0.052789608374412,-1,-0.454125410809601,-0.0847269016081049,0.0423308016596764,-0.0847192229465114,0.0423269652878186,0.0944581268377007,-1.34460174953206,0.511028477713814,-0.557046618061384,0.848058985183287
0.00065,-0.0235479885154878,-0.0585861947517286,0,0.0438246769244195,-1,-0.455078047358673,-0.0857983483276934,0.0497894570200822,-0.0838681272607684,0.0439892709294943,0.0989316201675097,-1.32575234347267,0.54257233088279,-0.538197982799206,0.892964269817834
