t_s,ia_ufv_pu,ib_ufv_pu,ic_ufv_pu,va_ufv_pu,vb_ufv_pu,vc_ufv_pu
0,-6.65274433915379e-14,-6.12999270285168e-14,1.27827370420055e-13,2.05331615406187e-08,1.8919730564376e-08,-3.94528921049946e-08
5e-05,-0.00304445486072338,0.00128014701660922,0.00176430784411415,-0.00851247486811143,0.00475228900017179,0.00376018586793884
0.0001,-0.00879024865839127,0.00315550311153036,0.0056347455468609,-0.0122429158080639,0.00827590830230005,0.00396700750576385
0.00015,-0.0201028003146222,0.00636072600161477,0.0137420743130075,-0.0202248531525513,0.0157334275280624,0.00449142562449218
0.0002,-0.0363414805649653,0.00986297002559554,0.0264785105393698,-0.0200413583107117,0.0213589585628514,-0.00131760025213965
0.00025,-0.0598041740429033,0.0142698616462372,0.0455343123966662,-0.021846433306701,0.0303676064569995,-0.00852117315029907
0.0003,-0.0890218192103096,0.0186209314159205,0.070400887794389,-0.0143753972699725,0.0369433459161902,-0.0225679486462177
0.00035,-0.125319133515288,0.023744344156407,0.101574789358881,-0.00879921790720239,0.0462008532838365,-0.0374016353766346
0.0004,-0.168959351590875,0.0303389075152876,0.138620444075587,-0.00387002485116588,0.0568124834522358,-0.0529424586010693
0.00045,-0.219356024445641,0.0390379361856451,0.180318088259996,0.00101131166099966,0.0675986979524839,-0.0686100096134839
0.0005,-0.273947017350136,0.0477421706947012,0.226204846655435,0.0105493627720629,0.0682988246455413,-0.0788481874176059
0.00055,-0.331654113277464,0.0581062503065296,0.273547862970935,0.0183009369050025,0.0703427642764038,-0.0886437011814086
0.0006,-0.391090316556575,0.0715326305830752,0.3195576859735,0.0241475632638752,0.072167051885825,-0.0963146151496996
0.00065,-0.450758325113814,0.0891796692791874,0.361578655834627,0.0278053291022245,0.0724474172882781,-0.100252746390502
0.0007,-0.507868392974908,0.109257158638972,0.398611234335935,0.0335422114869112,0.0608922460086542,-0.0944344574955673
0.00075,-0.561710317895364,0.133494693265731,0.428215624629632,0.0348779501420448,0.0490293438228281,-0.0839072939648722
0.0008,-0.611749478211767,0.163135841997721,0.448613636214046,0.0319908567054964,0.0355248888023297,-0.0675157455078261
0.00085,-0.657696309056286,0.198964273405766,0.45873203565052,0.0251441770709794,0.0194051417189244,-0.0445493187899041
0.0009,-0.696833443926813,0.239985254313053,0.45684818961376,0.0239162011310256,-0.00456751684215238,-0.0193486842888733
0.00095,-0.730484754896735,0.286705369375493,0.443779385521242,0.0164182679383448,-0.0305300860964078,0.0141118181580625
0.001,-0.75998239748838,0.339183653809562,0.420798743678818,0.00396187088621555,-0.0588950258329964,0.0549331549467816
0.00105,-0.785290143217967,0.394400497991487,0.39088964522648,-0.00758825450181301,-0.098990734999394,0.106578989501207
0.0011,-0.805498823075075,0.451455575477378,0.354043247597696,-0.0140198869656109,-0.14293742651135,0.156957313476961
0.00115,-0.821905160334491,0.508179659681572,0.313725500652919,-0.0216361236578591,-0.194204908413176,0.215841032071033
0.0012,-0.834515711386636,0.564360828809615,0.270154882577022,-0.0253915137840452,-0.245606692507231,0.270998206291276
0.00125,-0.845171061288721,0.618390961562103,0.226780099726618,-0.0309702240629645,-0.301248347992039,0.332218572055003
0.0013,-0.855456234326793,0.669169870275807,0.186286364050986,-0.0375064529431321,-0.359128479188954,0.396634932132087
